"STUDY_ID","REVIEWERS","INCLUDE","AU","TI","SO","PY","DI","AB","screen_status"
"11","Elise","not vetted","Tasdighi, A; Arabi, M; Harmel, D; Line, D","A Bayesian total uncertainty analysis framework for assessment of management practices using watershed models","ENVIRONMENTAL MODELLING & SOFTWARE","2018","10.1016/j.envsoft.2018.08.006","A Bayesian total uncertainty analysis framework is presented to assess the model estimates of the effectiveness of watershed management practices in reducing nonpoint source (NPS) pollution. The framework entails a two-stage procedure. First, various sources of modeling uncertainties are characterized during the period before implementing Best Management Practices (BMPs). Second, the effectiveness of BMPs are probabilistically quantified during the post-BMP period. The framework was used to assess the uncertainties in effectiveness of two BMPs in reducing daily total nitrogen (TN) loads in a 54 ha agricultural watershed in North Carolina using the SWAT model. The results indicated that the modeling uncertainties in quantifying the effectiveness of selected BMPs were relatively large. Assessment of measured data uncertainty revealed that higher errors were observed in simulating TN loads during high flow events. The results of this study have important implications for decision-making under uncertainty when models are used for water quality simulation.","MAYBE"
"12","Elise","not vetted","Si, XF; Cadotte, MW; Zhao, YH; Zhou, HN; Zeng, D; Li, JQ; Jin, TH; Ren, P; Wang, YP; Ding, P; Tingley, MW","The importance of accounting for imperfect detection when estimating functional and phylogenetic community structure","ECOLOGY","2018","10.1002/ecy.2438","Incorporating imperfect detection when estimating species richness has become commonplace in the past decade. However, the question of how imperfect detection of species affects estimates of functional and phylogenetic community structure remains untested. We used long-term counts of breeding bird species that were detected at least once on islands in a land-bridge island system, and employed multi-species occupancy models to assess the effects of imperfect detection of species on estimates of bird diversity and community structure by incorporating species traits and phylogenies. Our results showed that taxonomic, functional, and phylogenetic diversity were all underestimated significantly as a result of species' imperfect detection, with taxonomic diversity showing the greatest bias. The functional and phylogenetic structure calculated from observed communities were both more clustered than those from the detection-corrected communities due to missed distinct species. The discrepancy between observed and estimated diversity differed according to the measure of biodiversity employed. Our study demonstrates the importance of accounting for species' imperfect detection in biodiversity studies, especially for functional and phylogenetic community ecology, and when attempting to infer community assembly processes. With datasets that allow for detection-corrected community structure, we can better estimate diversity and infer the underlying mechanisms that structure community assembly, and thus make reliable management decisions for the conservation of biodiversity.","MAYBE"
"13","Elise","not vetted","Bradter, U; Mair, L; Jonsson, M; Knape, J; Singer, A; Snall, T","Can opportunistically collected Citizen Science data fill a data gap for habitat suitability models of less common species?","METHODS IN ECOLOGY AND EVOLUTION","2018","10.1111/2041-210X.13012","1. Opportunistically collected species observations contributed by volunteer reporters are increasingly available for species and regions for which systematically collected data are not available. However, it is unclear if they are suitable to produce reliable habitat suitability models (HSMs), and hence if the species-habitat relationships found and habitat suitability maps produced can be used with confidence to advice conservation management and address basic and applied research questions. 2. We evaluated HSMs with opportunistically collected observations against HSMs with systematically collected observations. We enhanced the opportunistically collected presence-only data by adding inferred species absences. To obtain inferred absences, we asked individual reporters about their identification skills and if they reported certain species consistently and combined this information with their observations. We evaluated several HSM methods using a forest bird species, Siberian jay (Perisoreus infaustus), in Sweden: logistic regression with inferred absences, two versions of MaxEnt, a model combining presence-absence with presence-only observations and a Bayesian site-occupancy-detection model. 3. All HSM methods produced nationwide habitat suitability maps of Siberian jay that agreed well with systematically collected observations (AUC: 086-0.88) and were very similar to a habitat suitability map produced from the HSM with systematically collected observations (Spearman rho: 0.94-0.98). At finer geographical scales there were differences among methods. 4. At finer scale, the resulting habitat suitability maps from logistic regression with inferred absences agreed better with results from systematically collected observations than other methods. The species-habitat relationships found with logistic regression also agreed well with those found from systematically collected data and with prior expectations based on the species ecology. 5. Synthesis and application. For many regions and species, systematically collected data are not available. By using inferred absences from high-quality, opportunistically collected contributions of few very active reporters in logistic regression we obtained HSMs that produced results similar to those from a systematic survey. Adding high-quality inferred absences to opportunistically collected data is likely possible for many less common species across various organism groups. Well-performing HSMs are important to facilitate applications such as spatial conservation planning and prioritization, monitoring of invasive species, understanding species habitat requirements or climate change studies.","NO"
"14","Elise","not vetted","Hooten, MB; Scharf, HR; Hefley, TJ; Pearse, AT; Weegman, MD","Animal movement models for migratory individuals and groups","METHODS IN ECOLOGY AND EVOLUTION","2018","10.1111/2041-210X.13016","1. Animals often exhibit changes in their behaviour during migration. Telemetry data provide a way to observe geographic position of animals over time, but not necessarily changes in the dynamics of the movement process. Continuous-time models allow for statistical predictions of the trajectory in the presence of measurement error and during periods when the telemetry device did not record the animal's position. However, continuous-time models capable of mimicking realistic trajectories with sufficient detail are computationally challenging to fit to large datasets. Furthermore, basic continuous-time model specifications (e.g. Brownian motion) lack realism in their ability to capture nonstationary dynamics. 2. We present a unified class of animal movement models that are computationally efficient and provide a suite of approaches for accommodating nonstationarity in continuous trajectories due to migration and interactions among individuals. Our approach uses process convolutions to allow for flexibility in the movement process while facilitating implementation and incorporating location uncertainty. We show how to nest convolution models to incorporate interactions among migrating individuals to account for nonstationarity and provide inference about dynamic migratory networks. 3. We demonstrate these approaches in two case studies involving migratory birds. Specifically, we used process convolution models with temporal deformation to account for heterogeneity in individual greater white-fronted goose migrations in Europe and Iceland, and we used nested process convolutions to model dynamic migratory networks in sandhill cranes in North America. 4. The approach we present accounts for various forms of temporal heterogeneity in animal movement and is not limited to migratory applications. Furthermore, our models rely on well-established principles for modelling-dependent data and leverage modern approaches for modelling dynamic networks to help explain animal movement and social interaction.","NO"
"15","Elise","not vetted","Link, WA; Schofield, MR; Barker, RJ; Sauer, JR","On the robustness of N-mixture models","ECOLOGY","2018","10.1002/ecy.2362","N-mixture models provide an appealing alternative to mark-recapture models, in that they allow for estimation of detection probability and population size from count data, without requiring that individual animals be identified. There is, however, a cost to using the N-mixture models: inference is very sensitive to the model's assumptions. We consider the effects of three violations of assumptions that might reasonably be expected in practice: double counting, unmodeled variation in population size over time, and unmodeled variation in detection probability over time. These three examples show that small violations of assumptions can lead to large biases in estimation. The violations of assumptions we consider are not only small qualitatively, but are also small in the sense that they are unlikely to be detected using goodness-of-fit tests. In cases where reliable estimates of population size are needed, we encourage investigators to allocate resources to acquiring additional data, such as recaptures of marked individuals, for estimation of detection probabilities.","YES"
"16","Elise","not vetted","Stuber, EF; Fontaine, JJ","Ecological neighborhoods as a framework for umbrella species selection","BIOLOGICAL CONSERVATION","2018","10.1016/j.biocon.2018.04.026","Umbrella species are typically chosen because they are expected to confer protection for other species assumed to have similar ecological requirements. Despite its popularity and substantial history, the value of the umbrella species concept has come into question because umbrella species chosen using heuristic methods, such as body or home range size, are not acting as adequate proxies for the metrics of interest: species richness or population abundance in a multi-species community for which protection is sought. How species associate with habitat across ecological scales has important implications for understanding population size and species richness, and therefore may be a better proxy for choosing an umbrella species. We determined the spatial scales of ecological neighborhoods important for predicting abundance of 8 potential umbrella species breeding in Nebraska using Bayesian latent indicator scale selection in N-mixture models accounting for imperfect detection. We compare the conservation value measured as collective avian abundance under different umbrella species selected following commonly used criteria and selected based on identifying spatial land cover characteristics within ecological neighborhoods that maximize collective abundance. Using traditional criteria to select an umbrella species resulted in sub-maximal expected collective abundance in 86% of cases compared to selecting an umbrella species based on land cover characteristics that maximized collective abundance directly. We conclude that directly assessing the expected quantitative outcomes, rather than ecological proxies, is likely the most efficient method to maximize the potential for conservation success under the umbrella species concept.","MAYBE"
"17","Elise","not vetted","Del Giudice, D; Muenich, RL; Kalcic, MM; Bosch, NS; Scavia, D; Michalak, AM","On the practical usefulness of least squares for assessing uncertainty in hydrologic and water quality predictions","ENVIRONMENTAL MODELLING & SOFTWARE","2018","10.1016/j.envsoft.2018.03.009","Sophisticated methods for uncertainty quantification have been proposed for overcoming the pitfalls of simple statistical inference in hydrology. The implementation of such methods is conceptually and computationally challenging, however, especially for large-scale models. Here, we explore whether there are circumstances in which simple approaches, such as least squares, produce comparably accurate and reliable predictions. We do so using three case studies, with two involving a small sewer catchment with limited calibration data, and one an agricultural river basin with rich calibration data. We also review additional published case studies. We find that least squares performs similarly to more sophisticated approaches such as a Bayesian autoregressive error model in terms of both accuracy and reliability if calibration periods are long or if the input data and the model have minimal bias. Overall, we find that, when mindfully applied, simple statistical methods such as least squares can still be useful for uncertainty quantification. (c) 2018 Elsevier Ltd. All rights reserved.","NO"
"18","Elise","not vetted","Reich, BJ; Pacifici, K; Stallings, JW","Integrating auxiliary data in optimal spatial design for species distribution modelling","METHODS IN ECOLOGY AND EVOLUTION","2018","10.1111/2041-210X.13002","1. Traditional surveys used to create species distribution maps and estimate ecological relationships are expensive and time consuming. Citizen science offers a way to collect a massive amount of data at negligible cost and has been shown to be a useful supplement to traditional analyses. However, there remains a need to conduct formal surveys to firmly establish ecological relationships and trends. 2. In this paper, we investigate the use of auxiliary (e.g. citizen science) data as a guide to designing more efficient ecological surveys. Our aim is to explore the use of opportunistic data to inform spatial survey design through a novel objective function that minimizes misclassificaton rate (i.e. false positives and false negatives) of the estimated occupancy maps. We use an initial occupancy estimate from auxiliary data as the prior in a Bayesian spatial occupancy model, and an efficient posterior approximation that accounts for spatial dependence, covariate effects, and imperfect detection in an exchange algorithm to search for the optimal set of sampling locations to minimize misclassification rate. 3. We examine the optimal design as a function of the detection rate and quality of the citizen-science data, and compare this optimal design with several common ad hoc designs via an extensive simulation study. We then apply our method to eBird data for the brown-headed nuthatch in the Southeast US. 4. We argue that planning a survey with the use of auxiliary data improves estimation accuracy and may significantly reduce the costs of sampling.","NO"
"19","Elise","not vetted","Jia, HF; Xu, T; Liang, SD; Zhao, P; Xu, CQ","Bayesian framework of parameter sensitivity, uncertainty, and identifiability analysis in complex water quality models","ENVIRONMENTAL MODELLING & SOFTWARE","2018","10.1016/j.envsoft.2018.03.001","An efficient Bayesian analytical framework was developed to address the challenges of uncertainty analysis and assess the parameter identification problems of complex water quality models with high-dimensional parameter space. The inclusion of a multi-chain Markov Chain Monte Carlo method and comprehensive global sensitive analysis (GSA) guarantees the results to be robust. A high-frequency synthetic data case study was conducted in the EFDC water quality module including 54 parameters. The comprehensive GSA identified 39 completely or partially sensitive parameters for reducing dimensionality, among which only nine were identifiable without significant bias. The fundamental causes of the parameter identification problem could be traced to the cognitive limitations of the real water quality assessment process instead of data scarcity. The framework is powerful for exploring these limitations, generating reminders for model users to use Bayesian estimates in future forecasts, and providing directions for model developers to perfect a model in future work. (C) 2018 Elsevier Ltd. All rights reserved.","YES"
"20","Elise","not vetted","Mizel, JD; Schmidt, JH; Lindberg, MS","Accommodating temporary emigration in spatial distance sampling models","JOURNAL OF APPLIED ECOLOGY","2018","10.1111/1365-2664.13053","1. Model-based distance sampling is commonly used to understand spatial variation in the density of wildlife species. The standard approach assumes that individuals are distributed uniformly and models spatial variation in density using plot-level effects. Thinned point process (TPP) models for surveys of unmarked populations (spatial distance sampling) better leverage the spatial information underlying individual encounters, and in the presence of within-plot variation in density, may explain a larger proportion of the spatial variation in density. However, existing spatial distance sampling approaches are conditioned on the assumption that all individuals are present and available for sampling. Temporary emigration of individuals can therefore result in biased estimates of abundance. 2. We extended spatial distance sampling models to accommodate temporary emigration (TPP model). Using simulations of a thinned inhomogeneous point process, we assessed the performance of the TPP model relative to the temporary emigration distance sampling (TEDS) model, which implies a uniform distribution of individuals. In addition, we compared inferences between TPP and TEDS models using data for two passerine species in Alaska. 3. Parameter estimates from the TPP model exhibited improved coverage probability and precision relative to the TEDS model including a 26% reduction in the coefficient of variation (CV) of the population size estimate. 4. In the applied example, the TEDS model indicated weak relationships between abundance and habitat covariates, whereas the TPP model indicated strong relationships for those same effects, suggesting that spatial distance sampling models can provide considerably stronger inference in the presence of within-plot variation in density. In addition, the CV of the population size estimates for the two passerine species were 32% and 4% smaller under the TPP model. 5. Synthesis and applications. We expect our extension accommodating temporary emigration will be a critical specification for spatial distance sampling models, particularly for studies assessing changes in the distribution and abundance of highly mobile species including passerines.","NO"
"21","Elise","not vetted","Ketz, AC; Johnson, TL; Monello, RJ; Mack, JA; George, JL; Kraft, BR; Wild, MA; Hooten, MB; Hobbs, NT","Estimating abundance of an open population with an N-mixture model using auxiliary data on animal movements","ECOLOGICAL APPLICATIONS","2018","10.1002/eap.1692","Accurate assessment of abundance forms a central challenge in population ecology and wildlife management. Many statistical techniques have been developed to estimate population sizes because populations change over time and space and to correct for the bias resulting from animals that are present in a study area but not observed. The mobility of individuals makes it difficult to design sampling procedures that account for movement into and out of areas with fixed jurisdictional boundaries. Aerial surveys are the gold standard used to obtain data of large mobile species in geographic regions with harsh terrain, but these surveys can be prohibitively expensive and dangerous. Estimating abundance with ground-based census methods have practical advantages, but it can be difficult to simultaneously account for temporary emigration and observer error to avoid biased results. Contemporary research in population ecology increasingly relies on telemetry observations of the states and locations of individuals to gain insight on vital rates, animal movements, and population abundance. Analytical models that use observations of movements to improve estimates of abundance have not been developed. Here we build upon existing multi-state mark-recapture methods using a hierarchical N-mixture model with multiple sources of data, including telemetry data on locations of individuals, to improve estimates of population sizes. We used a state-space approach to model animal movements to approximate the number of marked animals present within the study area at any observation period, thereby accounting for a frequently changing number of marked individuals. We illustrate the approach using data on a population of elk (Cervus elaphus nelsoni) in Northern Colorado, USA. We demonstrate substantial improvement compared to existing abundance estimation methods and corroborate our results from the ground based surveys with estimates from aerial surveys during the same seasons. We develop a hierarchical Bayesian N-mixture model using multiple sources of data on abundance, movement and survival to estimate the population size of a mobile species that uses remote conservation areas. The model improves accuracy of inference relative to previous methods for estimating abundance of open populations.","YES"
"22","Elise","not vetted","Kohyama, TS; Kohyama, TI; Sheil, D","Definition and estimation of vital rates from repeated censuses: Choices, comparisons and bias corrections focusing on trees","METHODS IN ECOLOGY AND EVOLUTION","2018","10.1111/2041-210X.12929","1. Mortality and recruitment rates are fundamental measures of population dynamics. Ecologists and others have defined and estimated these vital rates in various ways. We review these alternatives focusing on tree population census data in fixed area plots, though many aspects have wider application when similar data characteristics and assumptions apply: our goal is to guide choices and facilitate comparisons. 2. We divide our estimates into instantaneous and annual rates, corresponding to continuous or discrete time dynamics, respectively. In each case, vital rate estimates can be further divided into those based on population density (per-capita rates) and those based on census area (per-area rates). We also examine how all such rate estimates relate to each other and can thus be interconverted and compared. 3. In a heterogeneous population (e.g. trees in a forest stand) comprising subpopulations (e.g. species, locations, exposure classes), estimates of vital rates that assume homogeneity (equal likelihood of mortality and equal likelihood of recruitment for all individuals) are biased towards lower vital rates in stable mixed populations (due to survivorship bias) and towards lower absolute values of population change rate (due to changing-frequency bias). 4. We describe and illustrate an individual-based Bayesian procedure for estimating vital rates that reduces biases by accounting for demographic heterogeneity and sampling errors among and within subpopulations.","MAYBE"
